Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Zheng G., Wang H., Sun D., Lin L.",15838222700;25634475500;13008883600;56683459000;,The behaviors of direct-written nanofibers on patterned substrate,2008,"2008 8th IEEE Conference on Nanotechnology, IEEE-NANO",,,4617041,179,182,,7,10.1109/NANO.2008.59,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349139342&doi=10.1109%2fNANO.2008.59&partnerID=40&md5=e1b0fe8e5b7ec7e1fa53e10931fa0920,"Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Department of Mechanical Engineering, BSAC, University of California, Berkeley, CA 94720-1740, United States","Zheng, G., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Wang, H., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Sun, D., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Lin, L., Department of Mechanical Engineering, BSAC, University of California, Berkeley, CA 94720-1740, United States","Zheng, G.; Department of Mechanical and Electrical Engineering, Xiamen University, 361005China",,,,9.78E+12,,,English,"IEEE Conf. Nanotechnology, IEEE-NANO",Conference Paper,Final,,Scopus,2-s2.0-55349139342
"Sun D., Lin L., Wu D., Dai Y.",13008883600;56683459000;15758429800;19639883400;,Electrospun ordered nanofibers on Si and SiO2 substrate,2007,"Proceedings of the 2nd IEEE International Conference on Nano/Micro Engineered and Molecular Systems, IEEE NEMS 2007",,,4160461,72,76,,7,10.1109/NEMS.2007.352158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548130046&doi=10.1109%2fNEMS.2007.352158&partnerID=40&md5=d4028570759bad2be19e0b1457d24ac8,"Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Department of Mechanical Engineering, Berkeley Sensor and Actuator Center, University of California, Berkeley, CA 94720-1740","Sun, D., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Lin, L., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China, Department of Mechanical Engineering, Berkeley Sensor and Actuator Center, University of California, Berkeley, CA 94720-1740; Wu, D., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; Dai, Y., Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China","Sun, D.; Department of Mechanical and Electrical Engineering, Xiamen University, 361005, China; email: sundh@xmu.edu.cn",,,,1424406102; 9781424406104,,,English,Proc. IEEE Int. Conf. Nano/Micro Eng. Mol. Syst.,Conference Paper,Final,,Scopus,2-s2.0-34548130046
"Robinson T.M., Hutmacher D.W., Dalton P.D.",57210462826;24288865000;7005153682;,The Next Frontier in Melt Electrospinning: Taming the Jet,2019,Advanced Functional Materials,29,44,1904664,,,,6,10.1002/adfm.201904664,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070829128&doi=10.1002%2fadfm.201904664&partnerID=40&md5=4b82cd2c06f5d05bebf43007c46075cc,"Department of Functional Materials in Medicine and Dentistry and Bavarian Polymer Institute, University Clinic Würzburg, Pleicherwall 2, Würzburg, 97070, Germany; Institute for Health and Biomedical Innovation, Queensland University of Technology, 60 Musk Ave, Kelvin Grove, 4059, Australia","Robinson, T.M., Department of Functional Materials in Medicine and Dentistry and Bavarian Polymer Institute, University Clinic Würzburg, Pleicherwall 2, Würzburg, 97070, Germany; Hutmacher, D.W., Institute for Health and Biomedical Innovation, Queensland University of Technology, 60 Musk Ave, Kelvin Grove, 4059, Australia; Dalton, P.D., Department of Functional Materials in Medicine and Dentistry and Bavarian Polymer Institute, University Clinic Würzburg, Pleicherwall 2, Würzburg, 97070, Germany","Hutmacher, D.W.; Institute for Health and Biomedical Innovation, Queensland University of Technology, 60 Musk Ave, Australia; email: dietmar.hutmacher@qut.edu.au",,Wiley-VCH Verlag,1616301X,,AFMDC,,English,Adv. Funct. Mater.,Review,Final,Open Access,Scopus,2-s2.0-85070829128
"Srivastava M., Freed J.H.",55735548800;7102906596;,Singular Value Decomposition Method to Determine Distance Distributions in Pulsed Dipolar Electron Spin Resonance: II. Estimating Uncertainty,2019,Journal of Physical Chemistry A,123,1,,359,370,,6,10.1021/acs.jpca.8b07673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059687254&doi=10.1021%2facs.jpca.8b07673&partnerID=40&md5=3b8f87bd61dca5040de8b5f75f26bd6d,"National Biomedical Center for Advanced ESR Technology, Cornell University, Ithaca, NY  14853, United States; Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY  14853, United States; Department of Chemistry and Chemical Biology, Cornell University, Ithaca, NY  14853, United States","Srivastava, M., National Biomedical Center for Advanced ESR Technology, Cornell University, Ithaca, NY  14853, United States, Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY  14853, United States; Freed, J.H., National Biomedical Center for Advanced ESR Technology, Cornell University, Ithaca, NY  14853, United States, Department of Chemistry and Chemical Biology, Cornell University, Ithaca, NY  14853, United States","Freed, J.H.; National Biomedical Center for Advanced ESR Technology, Cornell UniversityUnited States; email: jhf3@cornell.edu",,American Chemical Society,10895639,,JPCAF,30525624,English,J Phys Chem A,Article,Final,,Scopus,2-s2.0-85059687254
"Kurusu R.S., Demarquette N.R.",54789938200;35492969000;,Surface modification to control the water wettability of electrospun mats,2019,International Materials Reviews,64,5,,249,287,,6,10.1080/09506608.2018.1484577,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049112393&doi=10.1080%2f09506608.2018.1484577&partnerID=40&md5=ba0b231f187f1d0f687189d4f6dcbac0,"Mechanical Engineering Department, École de technologie supérieure (ÉTS), Montréal, QC, Canada","Kurusu, R.S., Mechanical Engineering Department, École de technologie supérieure (ÉTS), Montréal, QC, Canada; Demarquette, N.R., Mechanical Engineering Department, École de technologie supérieure (ÉTS), Montréal, QC, Canada","Demarquette, N.R.; Mechanical Engineering Department, École de technologie supérieure (ÉTS), 1100 Notre-Dame Street West, Canada; email: nicoler.demarquette@etsmtl.ca",,Taylor and Francis Ltd.,9506608,,INMRE,,English,Int Mater Rev,Article,Final,,Scopus,2-s2.0-85049112393
"Walker B.W., Lara R.P., Yu C.H., Sani E.S., Kimball W., Joyce S., Annabi N.",57207051546;36608769600;57208227265;57194597121;57207882643;57208227653;35241843100;,Engineering a naturally-derived adhesive and conductive cardiopatch,2019,Biomaterials,207,,,89,101,,6,10.1016/j.biomaterials.2019.03.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064167749&doi=10.1016%2fj.biomaterials.2019.03.015&partnerID=40&md5=e509ee286cd92ce722a23437a831283b,"Department of Chemical and Biomolecular Engineering, University of California – Los Angeles, Los Angeles, CA  90095, United States; Department of Chemical Engineering, Northeastern University, Boston, MA  02115, United States; Tecnologico de Monterrey, Escuela de Ingeniería y Ciencias, Zapopan, JAL, Mexico; Biomaterials Innovation Research Center, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, United States; Center for Minimally Invasive Therapeutics (C-MIT), California NanoSystems Institute (CNSI), University of California – Los Angeles, 570 Westwood Plaza, Los Angeles, CA  90095, United States","Walker, B.W., Department of Chemical and Biomolecular Engineering, University of California – Los Angeles, Los Angeles, CA  90095, United States; Lara, R.P., Department of Chemical Engineering, Northeastern University, Boston, MA  02115, United States, Tecnologico de Monterrey, Escuela de Ingeniería y Ciencias, Zapopan, JAL, Mexico; Yu, C.H., Department of Chemical Engineering, Northeastern University, Boston, MA  02115, United States; Sani, E.S., Department of Chemical and Biomolecular Engineering, University of California – Los Angeles, Los Angeles, CA  90095, United States; Kimball, W., Department of Chemical Engineering, Northeastern University, Boston, MA  02115, United States; Joyce, S., Department of Chemical Engineering, Northeastern University, Boston, MA  02115, United States; Annabi, N., Department of Chemical and Biomolecular Engineering, University of California – Los Angeles, Los Angeles, CA  90095, United States, Biomaterials Innovation Research Center, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, United States, Center for Minimally Invasive Therapeutics (C-MIT), California NanoSystems Institute (CNSI), University of California – Los Angeles, 570 Westwood Plaza, Los Angeles, CA  90095, United States","Annabi, N.; Department of Chemical and Biomolecular Engineering, University of California – Los AngelesUnited States; email: nannabi@ucla.edu",,Elsevier Ltd,1429612,,BIMAD,30965152,English,Biomaterials,Article,Final,,Scopus,2-s2.0-85064167749
"Tian J., Ma Q., Yu W., Li D., Dong X., Liu G., Wang J.",56735017700;56875081400;39062597400;56147508500;7401797195;35206255700;8215096400;,Preparation of Janus microfibers with magnetic and fluorescence functionality via conjugate electro-spinning,2019,Materials and Design,170,,107701,,,,6,10.1016/j.matdes.2019.107701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063038118&doi=10.1016%2fj.matdes.2019.107701&partnerID=40&md5=1989e31b0b86b536d838cb82aae3a9d9,"Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China","Tian, J., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China; Ma, Q., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China; Yu, W., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China; Li, D., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China; Dong, X., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China; Liu, G., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China; Wang, J., Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and Technology, Changchun, 130022, China","Dong, X.; Key Laboratory of Applied Chemistry and Nanotechnology at Universities of Jilin Province, Changchun University of Science and TechnologyChina; email: xtdong@cust.edu.cn",,Elsevier Ltd,2641275,,,,English,Mater. Des.,Article,Final,Open Access,Scopus,2-s2.0-85063038118
"Chen Q., Wang Y., Wang M., Ma S., Wang P., Zhang G., Chen W., Jiao H., Liu L., Xu X.",8401131200;7601501174;57206855352;7403725657;55718422800;55619309093;55569499100;24385253400;55715375800;55706299700;,Enhanced acetone sensor based on Au functionalized In-doped ZnSnO 3 nanofibers synthesized by electrospinning method,2019,Journal of Colloid and Interface Science,543,,,285,299,,6,10.1016/j.jcis.2019.02.055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062004428&doi=10.1016%2fj.jcis.2019.02.055&partnerID=40&md5=0914bde4b8c2ae81b1644fef0f76cd7e,"College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China; Key Laboratory of Special Function Materials and Structure Design, Ministry of Education, Department of Materials Science, School of Physical Science and Technology, Lanzhou University, Lanzhou, Gansu  730030, China; Postdoctoral Scientific Research Working Station of Lanzhou Mapping Information Center, Lanzhou, Gansu  730000, China; Key Laboratory of Atomic and Molecular Physics & Functional Materials of Gansu Province, College of Physics and Electronic Engineering, Northwest Normal University, Lanzhou, 730070, China","Chen, Q., College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China, Key Laboratory of Special Function Materials and Structure Design, Ministry of Education, Department of Materials Science, School of Physical Science and Technology, Lanzhou University, Lanzhou, Gansu  730030, China, Postdoctoral Scientific Research Working Station of Lanzhou Mapping Information Center, Lanzhou, Gansu  730000, China; Wang, Y., Key Laboratory of Special Function Materials and Structure Design, Ministry of Education, Department of Materials Science, School of Physical Science and Technology, Lanzhou University, Lanzhou, Gansu  730030, China; Wang, M., Postdoctoral Scientific Research Working Station of Lanzhou Mapping Information Center, Lanzhou, Gansu  730000, China; Ma, S., Key Laboratory of Atomic and Molecular Physics & Functional Materials of Gansu Province, College of Physics and Electronic Engineering, Northwest Normal University, Lanzhou, 730070, China; Wang, P., College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China; Zhang, G., College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China; Chen, W., College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China; Jiao, H., College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China; Liu, L., College of Electric Engineering, Key Laboratory for Electronic Materials of the State Ethnic Affairs Commission of PRC, Northwest Minzu University, Lanzhou, Gansu  730030, China; Xu, X., Key Laboratory of Atomic and Molecular Physics & Functional Materials of Gansu Province, College of Physics and Electronic Engineering, Northwest Normal University, Lanzhou, 730070, China","Wang, Y.; Key Laboratory of Special Function Materials and Structure Design, Ministry of Education, Department of Materials Science, School of Physical Science and Technology, Lanzhou UniversityChina",,Academic Press Inc.,219797,,JCISA,30822660,English,J. Colloid Interface Sci.,Article,Final,,Scopus,2-s2.0-85062004428
"Fischer R., McNally D.P., Reetz C., Assumpção G.G.T., Knief T., Lin Y., Regal C.A.",57214648523;57209645202;57189073463;56584587600;57209639967;55266378800;6602912663;,Spin detection with a micromechanical trampoline: Towards magnetic resonance microscopy harnessing cavity optomechanics,2019,New Journal of Physics,21,4,43049,,,,6,10.1088/1367-2630/ab117a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068331558&doi=10.1088%2f1367-2630%2fab117a&partnerID=40&md5=bea9206a32476300a84cb72616d2c9c6,"JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States; Department of Physics, University of Colorado, Boulder, CO  80309, United States; Rafael Ltd, Haifa, 31021, Israel","Fischer, R., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States, Rafael Ltd, Haifa, 31021, Israel; McNally, D.P., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States; Reetz, C., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States; Assumpção, G.G.T., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States; Knief, T., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States; Lin, Y., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States; Regal, C.A., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO  80309, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States",,,Institute of Physics Publishing,13672630,,,,English,New J. Phys.,Article,Final,Open Access,Scopus,2-s2.0-85068331558
"Mao Y., Akram M., Shi J., Wen J., Yang C., Jiang J., Lu Z., Zhou B., Tian Y.",56454688200;57200031157;57194276847;57204590256;57204843355;57193812230;7404769327;55723433800;7402840751;,Optical oxygen sensors based on microfibers formed from fluorinated copolymers,2019,"Sensors and Actuators, B: Chemical",282,,,885,895,,6,10.1016/j.snb.2018.11.143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057494987&doi=10.1016%2fj.snb.2018.11.143&partnerID=40&md5=4cac1c3a095e694d267f0785dea29bff,"Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Institute of Applied Physics and Materials Engineering, University of Macau, Avenida da Universidade, Taipa, Macau  999078, China","Mao, Y., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China, Institute of Applied Physics and Materials Engineering, University of Macau, Avenida da Universidade, Taipa, Macau  999078, China; Akram, M., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Shi, J., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Wen, J., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Yang, C., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Jiang, J., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Lu, Z., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China; Zhou, B., Institute of Applied Physics and Materials Engineering, University of Macau, Avenida da Universidade, Taipa, Macau  999078, China; Tian, Y., Department of Materials Science and Engineering, Southern University of Science and Technology, No. 1088, Xueyuan Rd., Xili, Nanshan District, Shenzhen, Guangdong  518055, China","Zhou, B.; Institute of Applied Physics and Materials Engineering, University of Macau, Avenida da UniversidadeChina; email: bpzhou@umac.mo",,Elsevier B.V.,9254005,,SABCE,,English,"Sens Actuators, B Chem",Article,Final,,Scopus,2-s2.0-85057494987
"Wang D., Zhao G., Chen C., Zhang H., Duan R., Zhang D., Li M., Dong B.",57198729830;57206695025;57206696858;55808005300;57209564286;24077854400;56949557500;55602675000;,One-Step Fabrication of Dual Optically/Magnetically Modulated Walnut-like Micromotor,2019,Langmuir,35,7,,2801,2807,,6,10.1021/acs.langmuir.8b02904,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061868738&doi=10.1021%2facs.langmuir.8b02904&partnerID=40&md5=260d691baea51e7390170f75cd776a16,"Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China; School of Environment and Civil Engineering, Dongguan University of Technology, Dongguan, 523808, China; School of Materials Science and Engineering, Liaocheng University, Liaocheng, Shandong, 252000, China","Wang, D., Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China; Zhao, G., Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China; Chen, C., Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China; Zhang, H., Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China; Duan, R., School of Environment and Civil Engineering, Dongguan University of Technology, Dongguan, 523808, China; Zhang, D., School of Materials Science and Engineering, Liaocheng University, Liaocheng, Shandong, 252000, China; Li, M., Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China; Dong, B., Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow University, Suzhou, Jiangsu, 215123, China","Zhang, H.; Institute of Functional Nano and Soft Materials (FUNSOM), Jiangsu Key Laboratory for Carbon-Based Functional Materials and Devices, Soochow UniversityChina; email: huizhang@suda.edu.cn",,American Chemical Society,7437463,,LANGD,30688463,English,Langmuir,Article,Final,,Scopus,2-s2.0-85061868738
"Karki H.P., Kafle L., Ojha D.P., Song J.H., Kim H.J.",57197794906;57203802858;56074365300;7404788136;36068239700;,Cellulose/polyacrylonitrile electrospun composite fiber for effective separation of the surfactant-free oil-in-water mixture under a versatile condition,2019,Separation and Purification Technology,210,,,913,919,,6,10.1016/j.seppur.2018.08.053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052990181&doi=10.1016%2fj.seppur.2018.08.053&partnerID=40&md5=f4cb2b783a931e6f70d5604b0160d940,"Department of Convergence Technology Engineering, Chonbuk National University, Jeonju, 561-756, South Korea; Eco-friendly Machine Parts Design Center, Chonbuk National University, Jeonju, 561-756, South Korea","Karki, H.P., Department of Convergence Technology Engineering, Chonbuk National University, Jeonju, 561-756, South Korea; Kafle, L., Department of Convergence Technology Engineering, Chonbuk National University, Jeonju, 561-756, South Korea; Ojha, D.P., Department of Convergence Technology Engineering, Chonbuk National University, Jeonju, 561-756, South Korea; Song, J.H., Department of Convergence Technology Engineering, Chonbuk National University, Jeonju, 561-756, South Korea; Kim, H.J., Department of Convergence Technology Engineering, Chonbuk National University, Jeonju, 561-756, South Korea, Eco-friendly Machine Parts Design Center, Chonbuk National University, Jeonju, 561-756, South Korea","Kim, H.J.; Department of Convergence Technology Engineering, Chonbuk National UniversitySouth Korea; email: khanjoo@jbnu.ac.kr",,Elsevier B.V.,13835866,,SPUTF,,English,Sep. Purif. Technol.,Article,Final,,Scopus,2-s2.0-85052990181
"Choi J.H., Seo H., Park J.H., Son J.H., Kim D.I., Kim J., Moon G.D., Hyun D.C.",57199194833;57199231315;57189227357;57194549601;57204061726;15762365000;23489708500;15834575400;,"Poly(D,L-lactic-co-glycolic acid) (PLGA) hollow fiber with segmental switchability of its chains sensitive to NIR light for synergistic cancer therapy",2019,Colloids and Surfaces B: Biointerfaces,173,,,258,265,,6,10.1016/j.colsurfb.2018.09.081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054298372&doi=10.1016%2fj.colsurfb.2018.09.081&partnerID=40&md5=7e9a753beb3ca4a922340c170e4f33dd,"Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea; Dongnam Regional Division, Korea Institute of Industrial Technology, Busan, 46938, South Korea; Department of Materials Science and Engineering, Kumoh National Institute of Technology, Gumi, Gyeongbuk, 39177, South Korea","Choi, J.H., Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea; Seo, H., Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea, Dongnam Regional Division, Korea Institute of Industrial Technology, Busan, 46938, South Korea; Park, J.H., Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea; Son, J.H., Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea; Kim, D.I., Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea; Kim, J., Department of Materials Science and Engineering, Kumoh National Institute of Technology, Gumi, Gyeongbuk, 39177, South Korea; Moon, G.D., Dongnam Regional Division, Korea Institute of Industrial Technology, Busan, 46938, South Korea; Hyun, D.C., Department of Polymer Science and Engineering, Kyungpook National University, Daegu, 41566, South Korea","Moon, G.D.; Dongnam Regional Division, Korea Institute of Industrial TechnologySouth Korea; email: gmoon@kitech.re.kr",,Elsevier B.V.,9277765,,CSBBE,30300832,English,Colloids Surf. B Biointerfaces,Article,Final,,Scopus,2-s2.0-85054298372
"Zaarour B., Zhu L., Huang C., Jin X., Alghafari H., Fang J., Lin T.",57203663602;56480915300;36009783400;14028229600;57211444301;56514435500;57194638892;,A review on piezoelectric fibers and nanowires for energy harvesting,2019,Journal of Industrial Textiles,,,,,,,6,10.1177/1528083719870197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073970025&doi=10.1177%2f1528083719870197&partnerID=40&md5=636208fd023223b18cf72da15b282aa0,"Engineering Research Center of Technical Textiles, Ministry of Education, College of Textiles, Donghua University, Shanghai, China; Textile Industries Mechanical Engineering and Techniques Department, Faculty of Mechanical and Electrical Engineering, Damascus University, Damascus, Syrian Arab Republic; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; Deakin University, Faculty of Science Engineering and Built Environment, Geelong, VIC, Australia","Zaarour, B., Engineering Research Center of Technical Textiles, Ministry of Education, College of Textiles, Donghua University, Shanghai, China, Textile Industries Mechanical Engineering and Techniques Department, Faculty of Mechanical and Electrical Engineering, Damascus University, Damascus, Syrian Arab Republic; Zhu, L., Engineering Research Center of Technical Textiles, Ministry of Education, College of Textiles, Donghua University, Shanghai, China; Huang, C., Engineering Research Center of Technical Textiles, Ministry of Education, College of Textiles, Donghua University, Shanghai, China; Jin, X., Engineering Research Center of Technical Textiles, Ministry of Education, College of Textiles, Donghua University, Shanghai, China; Alghafari, H., School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; Fang, J., Deakin University, Faculty of Science Engineering and Built Environment, Geelong, VIC, Australia; Lin, T., Deakin University, Faculty of Science Engineering and Built Environment, Geelong, VIC, Australia","Zaarour, B.; Engineering Research Center of Technical Textiles, Ministry of Education, College of Textiles, Donghua UniversityChina; email: bilalzaarour121@hotmail.com",,SAGE Publications Ltd,15280837,,JINTF,,English,J. Ind. Text.,Review,Article in Press,,Scopus,2-s2.0-85073970025
"Hu W.-W., Hu Z.-C.",7404359766;57197711565;,The control of alginate degradation to dynamically manipulate scaffold composition for in situ transfection application,2018,International Journal of Biological Macromolecules,117,,,1169,1178,,6,10.1016/j.ijbiomac.2018.06.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048332318&doi=10.1016%2fj.ijbiomac.2018.06.016&partnerID=40&md5=320113095ce93f52bf28edae336e2281,"Department of Chemical and Materials Engineering, National Central University, Zhongli District, Taoyuan City, 32001, Taiwan; Centre for Biomedical Cell Engineering, National Central University, Zhongli District, Taoyuan City, 32001, Taiwan","Hu, W.-W., Department of Chemical and Materials Engineering, National Central University, Zhongli District, Taoyuan City, 32001, Taiwan, Centre for Biomedical Cell Engineering, National Central University, Zhongli District, Taoyuan City, 32001, Taiwan; Hu, Z.-C., Department of Chemical and Materials Engineering, National Central University, Zhongli District, Taoyuan City, 32001, Taiwan","Hu, W.-W.; Department of Chemical and Materials Engineering, National Central University, No. 300, Zhongda Rd., Zhongli District, Taiwan; email: huweiwen@cc.ncu.edu.tw",,Elsevier B.V.,1418130,,IJBMD,29883703,English,Int. J. Biol. Macromol.,Article,Final,,Scopus,2-s2.0-85048332318
